Freq (MHz),re(S11),im(S11),re(Z),im(Z)
0.050,-0.99533,0.01565,0.114,0.393
0.100,-0.99303,0.03244,0.162,0.816
0.150,-0.99352,0.04821,0.133,1.212
0.200,-0.99255,0.06475,0.134,1.629
0.250,-0.99176,0.08002,0.126,2.014
0.300,-0.99591,0.09201,-0.004,2.305
0.350,-0.98872,0.11261,0.123,2.838
0.400,-0.98781,0.12827,0.098,3.233
0.450,-0.98558,0.14483,0.096,3.654
0.500,-0.98776,0.16019,-0.017,4.028
0.550,-0.98283,0.17730,0.033,4.474
0.600,-0.97688,0.20161,0.064,5.106
0.650,-0.97565,0.20750,0.064,5.258
0.700,-0.97114,0.22211,0.096,5.645
0.750,-0.93787,0.23750,0.839,6.231
0.800,-0.95375,0.25047,0.356,6.456
0.850,-0.95533,0.26734,0.204,6.864
0.900,-0.96918,0.28947,-0.292,7.307
0.950,-0.94753,0.29668,0.183,7.645
1.000,-0.94292,0.31214,0.174,8.061
1.050,-0.93912,0.32081,0.196,8.304
1.100,-0.93071,0.33871,0.248,8.815
1.150,-0.92555,0.35369,0.238,9.228
1.200,-0.89582,0.36062,0.906,9.683
1.250,-0.91382,0.38115,0.258,10.009
1.300,-0.90777,0.39532,0.259,10.414
1.350,-0.88967,0.40746,0.568,10.904
1.400,-0.89377,0.42168,0.310,11.202
1.450,-0.88552,0.43477,0.358,11.612
1.500,-0.88412,0.45021,0.208,11.997
1.550,-0.87272,0.46221,0.332,12.423
1.600,-0.86544,0.47647,0.323,12.854
1.650,-0.85180,0.48770,0.499,13.300
1.700,-0.84994,0.49939,0.384,13.601
1.750,-0.84292,0.51266,0.364,14.010
1.800,-0.83571,0.52552,0.349,14.414
1.850,-0.82742,0.53776,0.361,14.820
1.900,-0.81866,0.55042,0.372,15.245
1.950,-0.81277,0.56097,0.343,15.579
2.000,-0.80160,0.57309,0.406,16.034
2.050,-0.79458,0.58465,0.376,16.412
2.100,-0.78325,0.59383,0.480,16.810
2.150,-0.77603,0.60659,0.423,17.222
2.200,-0.76729,0.61702,0.436,17.609
2.250,-0.75731,0.62626,0.492,17.994
2.300,-0.74978,0.63718,0.459,18.375
2.350,-0.74006,0.64790,0.472,18.793
2.400,-0.73427,0.65930,0.380,19.152
2.450,-0.72091,0.66772,0.505,19.596
2.500,-0.71221,0.67721,0.504,19.975
2.550,-0.70013,0.68575,0.589,20.405
2.600,-0.69395,0.69598,0.508,20.752
2.650,-0.68395,0.70635,0.499,21.182
2.700,-0.67221,0.71336,0.594,21.583
2.750,-0.66301,0.72291,0.575,21.985
2.800,-0.65441,0.73120,0.567,22.349
2.850,-0.64554,0.74047,0.537,22.741
2.900,-0.63390,0.74851,0.587,23.174
2.950,-0.62360,0.75587,0.620,23.566
3.000,-0.61432,0.76423,0.605,23.956
3.050,-0.60546,0.77196,0.591,24.326
3.100,-0.59356,0.78001,0.624,24.779
3.150,-0.58464,0.78790,0.597,25.158
3.200,-0.57384,0.79379,0.653,25.548
3.250,-0.56490,0.80021,0.656,25.903
3.300,-0.55280,0.80616,0.727,26.336
3.350,-0.54294,0.81495,0.675,26.765
3.400,-0.53323,0.81978,0.722,27.119
3.450,-0.52341,0.82636,0.718,27.512
3.500,-0.51239,0.83437,0.692,27.966
3.550,-0.50191,0.83883,0.751,28.345
3.600,-0.49314,0.84553,0.711,28.717
3.650,-0.48154,0.85118,0.747,29.155
3.700,-0.47177,0.85475,0.808,29.508
3.750,-0.46172,0.86220,0.754,29.937
3.800,-0.45078,0.86645,0.807,30.343
3.850,-0.44097,0.87119,0.821,30.726
3.900,-0.42987,0.87834,0.776,31.191
3.950,-0.41952,0.88217,0.819,31.582
4.000,-0.41028,0.88604,0.840,31.941
4.050,-0.39914,0.88996,0.885,32.367
4.100,-0.38955,0.89515,0.859,32.764
4.150,-0.38026,0.89814,0.899,33.120
4.200,-0.37026,0.90194,0.918,33.516
4.250,-0.35822,0.90717,0.913,34.005
4.300,-0.34878,0.91083,0.920,34.386
