Freq (MHz),re(S11),im(S11),re(Z),im(Z)
0.050,-0.97133,0.17975,0.309,4.587
0.100,-0.94343,0.32633,0.044,8.403
0.150,-0.85193,0.49881,0.345,13.560
0.200,-0.77383,0.61612,0.306,17.473
0.250,-0.67331,0.72351,0.349,21.770
0.300,-0.50814,0.82550,1.021,27.927
0.350,-0.44461,0.87471,0.652,30.670
0.400,-0.33052,0.91985,0.853,35.157
0.450,-0.21928,0.95138,0.978,39.777
0.500,-0.11756,0.96619,1.206,44.270
0.550,-0.01837,0.96628,1.673,49.030
0.600,0.08892,0.95359,2.379,54.823
0.650,0.15465,0.94778,2.412,58.762
0.700,0.22928,0.92940,2.869,63.754
0.750,0.28704,0.91638,2.888,67.977
0.800,0.35469,0.87909,4.263,73.921
0.850,0.40746,0.84784,5.381,79.242
0.900,0.45417,0.82250,6.015,84.408
0.950,0.49449,0.78838,7.636,89.887
1.000,0.53136,0.75790,9.020,95.450
1.050,0.56110,0.73329,10.095,100.402
1.100,0.58997,0.69886,12.454,106.447
1.150,0.61123,0.66973,14.829,111.682
1.200,0.63052,0.64347,17.108,116.873
1.250,0.64901,0.61720,19.623,122.429
1.300,0.66530,0.59288,22.206,127.905
1.350,0.67831,0.57294,24.511,132.703
1.400,0.69051,0.54899,27.924,138.224
1.450,0.70145,0.52878,30.964,143.401
1.500,0.71375,0.51089,33.467,148.969
1.550,0.71839,0.49161,37.734,153.156
1.600,0.72551,0.47468,41.295,157.877
1.650,0.72969,0.45788,45.611,161.955
1.700,0.73832,0.44318,48.790,167.311
1.750,0.74450,0.42852,52.647,172.161
1.800,0.75147,0.41551,56.020,177.252
1.850,0.75319,0.40210,60.877,180.640
1.900,0.75792,0.39004,64.872,185.088
1.950,0.76175,0.37819,69.247,189.293
2.000,0.76486,0.36661,73.959,193.263
2.050,0.76918,0.35612,78.162,197.733
2.100,0.77331,0.34588,82.552,202.245
2.150,0.77404,0.33639,87.600,204.843
2.200,0.77664,0.32669,92.613,208.594
2.250,0.77873,0.31727,97.890,212.049
2.300,0.78137,0.30948,102.274,215.552
2.350,0.78369,0.30091,107.506,219.106
2.400,0.78730,0.29302,112.236,223.505
2.450,0.78851,0.28514,117.806,226.245
2.500,0.79063,0.27815,122.741,229.494
2.550,0.79189,0.27122,128.074,232.067
2.600,0.79364,0.26351,134.218,235.231
2.650,0.79604,0.25696,139.504,238.744
2.700,0.79674,0.25063,145.195,240.688
2.750,0.79975,0.24409,150.894,244.874
2.800,0.80026,0.23760,157.309,246.604
2.850,0.80190,0.23124,163.663,249.407
2.900,0.80270,0.22595,169.273,251.107
2.950,0.80489,0.22020,175.420,254.404
3.000,0.80660,0.21447,181.887,257.152
3.050,0.80776,0.20922,188.134,259.164
3.100,0.80862,0.20454,193.906,260.684
3.150,0.80974,0.19856,201.587,262.554
3.200,0.81098,0.19404,207.595,264.436
3.250,0.81205,0.18942,213.950,266.021
3.300,0.81271,0.18374,222.077,266.918
3.350,0.81452,0.17956,228.315,269.431
3.400,0.81510,0.17500,235.286,270.014
3.450,0.81633,0.17088,241.842,271.526
3.500,0.81670,0.16538,250.746,271.344
3.550,0.81804,0.16127,257.795,272.797
3.600,0.81947,0.15731,264.855,274.361
3.650,0.82023,0.15301,272.581,274.560
3.700,0.82047,0.14876,280.254,273.656
3.750,0.82143,0.14496,287.552,274.026
3.800,0.82235,0.14061,296.085,273.935
3.850,0.82277,0.13679,303.603,272.910
3.900,0.82430,0.13362,310.596,274.231
3.950,0.82569,0.12921,320.245,274.454
4.000,0.82571,0.12566,327.518,272.181
4.050,0.82718,0.12148,337.287,272.222
4.100,0.82686,0.11816,344.038,268.928
4.150,0.82765,0.11410,353.404,267.060
4.200,0.82862,0.11086,361.361,266.109
4.250,0.82977,0.10727,370.476,264.967
4.300,0.82988,0.10396,377.989,261.547
4.350,0.83015,0.10041,386.286,257.924
4.400,0.83172,0.09726,395.448,257.465
4.450,0.83238,0.09367,404.601,254.048
4.500,0.83303,0.09034,413.276,250.667
4.550,0.83329,0.08657,422.451,245.343
4.600,0.83388,0.08300,431.724,240.692
4.650,0.83452,0.07990,440.057,236.600
4.700,0.83551,0.07721,448.170,233.831
4.750,0.83533,0.07411,454.991,227.261
4.800,0.83670,0.07062,465.894,223.102
4.850,0.83701,0.06778,473.072,217.520
4.900,0.83746,0.06449,481.559,210.897
4.950,0.83795,0.06063,491.331,202.532
5.000,0.83843,0.05803,498.204,196.907
5.050,0.83894,0.05546,505.066,191.129
5.100,0.83922,0.05139,514.321,180.368
5.150,0.83923,0.04826,520.599,171.297
5.200,0.84043,0.04613,528.337,167.205
5.250,0.84030,0.04368,532.586,159.322
5.300,0.84064,0.03999,540.324,148.138
5.350,0.84195,0.03732,549.304,141.501
5.400,0.84203,0.03396,555.081,130.066
5.450,0.84271,0.03134,561.505,121.836
5.500,0.84208,0.02884,562.799,111.927
5.550,0.84297,0.02595,569.901,102.439
5.600,0.84321,0.02254,574.897,89.819
5.650,0.84352,0.02017,578.629,81.020
5.700,0.84431,0.01737,584.405,70.794
5.750,0.84438,0.01487,586.794,60.857
5.800,0.84499,0.01203,591.246,49.774
5.850,0.84551,0.00936,594.922,39.089
5.900,0.84494,0.00610,593.907,25.333
5.950,0.84592,0.00384,598.611,16.173
6.000,0.84557,0.00068,597.538,2.856
6.050,0.84607,-0.00205,599.543,-8.634
6.100,0.84628,-0.00381,600.149,-16.095
6.150,0.84653,-0.00750,600.056,-31.752
6.200,0.84661,-0.00951,599.455,-40.253
6.250,0.84752,-0.01221,601.654,-52.204
6.300,0.84778,-0.01456,600.965,-62.284
6.350,0.84734,-0.01777,596.282,-75.228
6.400,0.84792,-0.01995,596.423,-84.806
6.450,0.84764,-0.02358,590.991,-99.199
6.500,0.84845,-0.02512,592.199,-106.449
6.550,0.84853,-0.02829,587.944,-119.161
6.600,0.84804,-0.02962,583.982,-123.568
6.650,0.84898,-0.03254,582.772,-136.343
6.700,0.84856,-0.03581,575.354,-147.871
6.750,0.84924,-0.03783,574.025,-156.582
6.800,0.84901,-0.03999,568.876,-163.886
6.850,0.84917,-0.04266,563.875,-173.641
6.900,0.84880,-0.04561,556.215,-182.888
6.950,0.84921,-0.04786,552.463,-191.230
7.000,0.84956,-0.05105,546.081,-202.279
7.050,0.84896,-0.05292,539.696,-206.625
7.100,0.84979,-0.05555,535.641,-216.576
7.150,0.84960,-0.05786,529.152,-222.813
7.200,0.84993,-0.05955,525.697,-228.439
7.250,0.84993,-0.06357,514.977,-239.323
7.300,0.84984,-0.06485,511.274,-242.383
7.350,0.85014,-0.06726,505.389,-249.278
7.400,0.84960,-0.06983,496.993,-253.948
7.450,0.85009,-0.07161,493.117,-259.453
7.500,0.84986,-0.07451,484.443,-265.219
7.550,0.84976,-0.07682,477.657,-269.798
7.600,0.84994,-0.07981,469.450,-276.288
7.650,0.85000,-0.08237,462.212,-281.270
7.700,0.85004,-0.08400,457.584,-284.317
7.750,0.85008,-0.08620,451.303,-288.235
7.800,0.85006,-0.08862,444.260,-292.134
7.850,0.84969,-0.09091,437.111,-294.605
7.900,0.84904,-0.09326,429.449,-296.207
7.950,0.84898,-0.09543,423.223,-299.028
8.000,0.84966,-0.09868,414.894,-305.143
8.050,0.84911,-0.10055,408.948,-305.824
8.100,0.84983,-0.10218,405.174,-309.721
8.150,0.84952,-0.10550,395.544,-312.367
8.200,0.84901,-0.10726,390.163,-312.692
8.250,0.84857,-0.10922,384.385,-313.305
8.300,0.84931,-0.11138,379.145,-317.208
8.350,0.84902,-0.11429,371.064,-318.729
8.400,0.84781,-0.11668,363.830,-317.283
8.450,0.84829,-0.11837,359.727,-319.683
8.500,0.84872,-0.12124,352.494,-322.579
8.550,0.84843,-0.12296,347.895,-322.784
8.600,0.84821,-0.12587,340.375,-323.714
8.650,0.84766,-0.12755,335.902,-323.099
8.700,0.84824,-0.12988,330.348,-325.527
