Freq (MHz),re(S11),im(S11),re(Z),im(Z)
0.050,-0.99974,0.00815,0.006,0.204
0.100,-0.99690,0.00458,0.077,0.115
0.150,-0.99735,0.00785,0.066,0.197
0.200,-0.99736,0.01130,0.065,0.283
0.250,-0.99672,0.01332,0.080,0.334
0.300,-0.99712,0.01601,0.069,0.401
0.350,-0.99591,0.01778,0.098,0.446
0.400,-0.99576,0.01908,0.102,0.479
0.450,-0.99832,0.02279,0.035,0.571
0.500,-0.99621,0.02463,0.087,0.618
0.550,-0.99272,0.02742,0.173,0.690
0.600,-0.99989,0.02999,-0.008,0.750
0.650,-0.99610,0.03224,0.085,0.809
0.700,-0.99606,0.03432,0.084,0.861
0.750,-0.99899,0.03715,0.008,0.929
0.800,-0.99235,0.03757,0.174,0.946
0.850,-0.99149,0.04049,0.193,1.020
0.900,-0.99999,0.04440,-0.024,1.110
0.950,-0.99507,0.04526,0.098,1.137
1.000,-0.99289,0.04764,0.150,1.199
1.050,-0.99982,0.04797,-0.024,1.199
1.100,-0.99188,0.05166,0.170,1.301
1.150,-0.99351,0.05390,0.126,1.355
1.200,-0.98684,0.05701,0.290,1.443
1.250,-0.99082,0.05781,0.188,1.457
1.300,-0.99238,0.06039,0.145,1.520
1.350,-0.98424,0.06109,0.349,1.550
1.400,-0.99046,0.06378,0.188,1.608
1.450,-0.98943,0.06708,0.208,1.693
1.500,-0.98419,0.06758,0.340,1.715
1.550,-0.99029,0.07050,0.181,1.778
1.600,-0.98957,0.07379,0.193,1.862
1.650,-0.98861,0.07558,0.214,1.908
1.700,-0.98955,0.07699,0.188,1.942
1.750,-0.98780,0.08042,0.225,2.032
1.800,-0.98279,0.08028,0.352,2.039
1.850,-0.98788,0.08439,0.214,2.132
1.900,-0.98758,0.08675,0.217,2.192
1.950,-0.99360,0.08918,0.060,2.239
2.000,-0.98689,0.09045,0.226,2.287
2.050,-0.98867,0.09345,0.174,2.358
2.100,-0.98169,0.09458,0.347,2.403
2.150,-0.98620,0.09721,0.227,2.458
2.200,-0.98596,0.09974,0.227,2.523
2.250,-0.97978,0.10030,0.381,2.552
2.300,-0.98491,0.10290,0.245,2.605
2.350,-0.98516,0.10553,0.232,2.670
2.400,-0.98559,0.10758,0.215,2.721
2.450,-0.98403,0.10980,0.249,2.781
