Freq (MHz),re(S11),im(S11),re(Z),im(Z)
0.050,-0.97189,0.19046,0.244,4.853
0.100,-0.90692,0.39753,0.257,10.477
0.150,-0.82458,0.54323,0.344,14.989
0.200,-0.71077,0.68835,0.308,20.242
0.250,-0.58052,0.79405,0.519,25.381
0.300,-0.50730,0.86586,-0.117,28.655
0.350,-0.31145,0.92511,0.916,35.916
0.400,-0.18347,0.95487,1.180,41.294
0.450,-0.06229,0.96710,1.474,46.861
0.500,0.04369,0.96159,1.996,52.283
0.550,0.14507,0.94884,2.411,58.168
0.600,0.24242,0.91522,3.670,64.838
0.650,0.31119,0.89858,3.733,70.097
0.700,0.38035,0.86605,4.642,76.371
0.750,0.43722,0.82455,6.469,82.736
0.800,0.49139,0.79434,7.169,89.286
0.850,0.53856,0.75664,8.750,96.335
0.900,0.57225,0.71689,11.379,102.868
0.950,0.61135,0.68392,12.808,110.524
1.000,0.63941,0.64793,15.581,117.840
1.050,0.65686,0.61061,19.944,124.464
1.100,0.68343,0.58226,22.071,132.559
1.150,0.70072,0.55220,25.863,139.976
1.200,0.71946,0.52263,29.734,148.540
1.250,0.72744,0.49603,35.085,154.848
1.300,0.73804,0.47116,40.142,162.125
1.350,0.74419,0.44958,45.606,168.030
1.400,0.75407,0.42539,51.862,176.190
1.450,0.76061,0.40448,58.365,183.098
1.500,0.76872,0.38454,64.857,190.970
1.550,0.77129,0.36526,73.146,196.671
1.600,0.77578,0.34825,80.699,202.999
1.650,0.78002,0.33190,88.743,209.336
1.700,0.78277,0.31541,98.101,215.045
1.750,0.78497,0.30086,107.238,220.000
1.800,0.78735,0.28667,116.917,225.016
1.850,0.78957,0.27327,126.899,229.724
1.900,0.79205,0.25946,138.087,234.669
1.950,0.79348,0.24603,150.148,238.447
2.000,0.79483,0.23549,160.327,241.399
2.050,0.79572,0.22466,171.560,243.661
2.100,0.79732,0.21342,183.972,246.364
2.150,0.79852,0.20232,197.137,248.164
2.200,0.79929,0.19197,210.197,248.863
2.250,0.80031,0.18243,222.957,249.367
2.300,0.80037,0.17286,236.282,247.886
2.350,0.80045,0.16386,249.312,245.778
2.400,0.80151,0.15499,262.967,244.380
2.450,0.80138,0.14666,275.831,240.578
